feature_usage_id,user_id,feature_name,usage_month,usage_count
1,1,Trading Signals,2024-10-01,8
2,1,Portfolio Tracker,2024-10-01,4
3,1,Market Scanner,2024-10-01,20
4,1,Market Scanner,2024-11-01,40
5,1,API Access,2024-11-01,37
6,1,Custom Dashboards,2024-11-01,45
7,1,Risk Analytics,2024-12-01,36
8,1,Trading Signals,2024-12-01,42
9,1,Portfolio Tracker,2025-01-01,30
10,1,Risk Analytics,2025-02-01,10
11,1,API Access,2025-03-01,3
12,1,Market Scanner,2025-03-01,23
13,1,Trading Signals,2025-03-01,30
14,1,Market Scanner,2025-04-01,22
15,1,API Access,2025-05-01,14
16,1,Portfolio Tracker,2025-05-01,4
17,1,Market Scanner,2025-05-01,15
18,1,Trading Signals,2025-05-01,41
19,1,API Access,2025-06-01,40
20,1,Trading Signals,2025-06-01,41
21,1,Portfolio Tracker,2025-06-01,43
22,1,Custom Dashboards,2025-06-01,44
23,1,Custom Dashboards,2025-07-01,11
24,1,Risk Analytics,2025-07-01,34
25,1,API Access,2025-07-01,23
26,1,Trading Signals,2025-08-01,10
27,1,API Access,2025-08-01,37
28,1,Market Scanner,2025-08-01,7
29,1,Trading Signals,2025-09-01,12
30,1,Portfolio Tracker,2025-09-01,19
31,1,API Access,2025-10-01,23
32,1,Trading Signals,2025-10-01,33
33,1,Risk Analytics,2025-10-01,19
34,1,Custom Dashboards,2025-10-01,46
35,1,Portfolio Tracker,2025-11-01,25
36,1,Trading Signals,2025-12-01,33
37,1,Market Scanner,2025-12-01,26
38,1,Portfolio Tracker,2026-01-01,43
39,1,Trading Signals,2026-01-01,27
40,1,Risk Analytics,2026-01-01,31
41,1,Custom Dashboards,2026-02-01,9
42,1,Risk Analytics,2026-02-01,10
43,1,API Access,2026-02-01,36
44,1,Trading Signals,2026-02-01,5
45,1,Portfolio Tracker,2026-03-01,12
46,1,Custom Dashboards,2026-03-01,14
47,1,Risk Analytics,2026-03-01,18
48,1,Risk Analytics,2026-04-01,14
49,1,Custom Dashboards,2026-05-01,10
