usage_id,user_id,activity_month,login_count,dashboards_viewed,reports_generated,api_calls,session_minutes
1,1,2024-10-01,27,29,22,753,63
2,1,2024-11-01,29,23,15,744,411
3,1,2024-12-01,11,21,0,561,411
4,1,2025-01-01,12,55,21,484,366
5,1,2025-02-01,26,51,12,73,550
6,1,2025-03-01,25,37,9,713,209
7,1,2025-04-01,24,71,12,99,144
8,1,2025-05-01,12,75,25,55,880
9,1,2025-06-01,24,39,14,670,177
10,1,2025-07-01,20,18,14,712,504
11,1,2025-08-01,11,19,6,223,833
12,1,2025-09-01,25,26,23,666,19
13,1,2025-10-01,13,74,3,694,814
14,1,2025-11-01,29,19,12,973,447
15,1,2025-12-01,23,22,1,98,374
16,1,2026-01-01,17,23,1,120,537
17,1,2026-02-01,22,44,18,444,162
18,1,2026-03-01,22,52,7,34,131
19,1,2026-04-01,9,51,15,309,714
20,1,2026-05-01,21,23,20,763,394
21,1,2026-06-01,26,12,24,474,895
22,1,2026-07-01,28,49,8,647,678
23,1,2026-08-01,16,48,0,122,129
24,1,2026-09-01,4,16,15,656,694
25,1,2026-10-01,18,29,0,600,596
26,1,2026-11-01,20,62,8,710,773
27,1,2026-12-01,5,76,5,393,505
28,2,2024-03-01,22,56,9,585,138
29,2,2024-04-01,5,42,2,730,892
30,2,2024-05-01,27,69,5,415,842
31,2,2024-06-01,24,3,12,569,847
32,2,2024-07-01,19,68,15,65,541
33,2,2024-08-01,28,75,17,730,848
34,2,2024-09-01,27,16,24,771,222
35,2,2024-10-01,23,16,5,882,623
36,2,2024-11-01,24,24,0,568,467
37,2,2024-12-01,27,41,3,40,141
38,2,2025-01-01,20,27,20,165,99
39,2,2025-02-01,19,33,24,35,96
40,2,2025-03-01,5,65,9,372,567
41,2,2025-04-01,7,55,21,0,264
42,2,2025-05-01,11,6,16,926,811
43,2,2025-06-01,11,69,14,143,600
44,2,2025-07-01,17,41,16,932,370
45,2,2025-08-01,21,69,16,214,714
46,2,2025-09-01,5,6,7,37,202
47,2,2025-10-01,6,39,6,980,147
48,2,2025-11-01,21,71,6,605,377
49,2,2025-12-01,10,17,23,637,442
50,2,2026-01-01,4,71,8,266,400
51,2,2026-02-01,22,21,12,467,95
52,2,2026-03-01,10,55,22,146,558
53,2,2026-04-01,8,10,20,750,285
54,2,2026-05-01,22,25,22,381,587
55,2,2026-06-01,23,66,19,167,439
56,2,2026-07-01,28,20,10,806,454
57,2,2026-08-01,14,4,19,253,89
58,2,2026-09-01,10,16,17,112,710
59,2,2026-10-01,19,53,2,337,665
60,2,2026-11-01,4,47,10,796,289
61,2,2026-12-01,6,29,8,10,110
62,3,2024-11-01,14,29,12,974,117
63,3,2024-12-01,27,16,5,539,755
64,3,2025-01-01,30,40,18,841,836
65,3,2025-02-01,17,13,16,357,727
66,3,2025-03-01,20,37,17,277,632
67,3,2025-04-01,5,7,5,325,779
68,3,2025-05-01,14,24,11,825,769
69,3,2025-06-01,23,69,17,608,880
70,3,2025-07-01,14,62,18,130,275
71,3,2025-08-01,2,66,22,159,683
72,3,2025-09-01,6,19,12,581,763
73,3,2025-10-01,10,7,23,654,389
74,3,2025-11-01,24,32,21,623,438
75,3,2025-12-01,24,59,5,449,372
76,3,2026-01-01,27,60,16,293,292
