subscription_id,user_id,plan_name,monthly_fee,start_date,end_date,subscription_status
1,1,Basic,29,2024-09-05,,Active
2,2,Pro,45,2024-02-03,,Active
3,3,Basic,29,2024-10-05,,Active
4,4,Basic,29,2024-06-13,,Active
5,5,Basic,29,2024-11-25,,Active
6,6,Basic,29,2024-08-02,,Active
7,7,Enterprise,79,2024-03-29,,Active
8,8,Basic,29,2024-03-04,,Active
9,9,Pro,45,2024-04-05,,Active
10,10,Basic,29,2024-03-29,,Active
11,11,Pro,45,2024-05-02,,Active
12,12,Enterprise,79,2024-10-16,2025-09-07,Cancelled
13,13,Basic,29,2024-07-10,,Active
14,14,Basic,29,2024-05-29,,Active
15,15,Basic,29,2024-10-18,,Active
16,16,Basic,29,2024-12-06,2026-10-14,Cancelled
17,17,Basic,29,2024-07-16,,Active
18,18,Basic,29,2024-12-26,,Active
19,19,Enterprise,79,2024-02-03,,Active
20,20,Basic,29,2024-03-05,2026-08-08,Cancelled
21,21,Basic,29,2024-03-19,,Active
22,22,Basic,29,2024-04-06,2024-08-29,Cancelled
23,23,Enterprise,79,2024-09-02,,Active
24,24,Basic,29,2024-07-07,,Active
25,25,Basic,29,2024-03-14,,Active
26,26,Basic,29,2024-09-18,,Active
27,27,Basic,29,2024-03-14,,Active
28,28,Pro,45,2024-11-09,,Active
29,29,Basic,29,2024-03-05,2024-04-09,Cancelled
30,30,Pro,45,2024-04-12,,Active
31,31,Basic,29,2024-01-23,,Active
32,32,Basic,29,2024-03-02,,Active
33,33,Basic,29,2024-06-05,,Active
34,34,Pro,45,2024-08-07,,Active
35,35,Basic,29,2024-09-07,,Active
36,36,Basic,29,2024-02-08,,Active
37,37,Basic,29,2024-03-02,,Active
38,38,Basic,29,2024-02-10,,Active
39,39,Pro,45,2024-08-22,,Active
40,40,Pro,45,2024-09-03,,Active
41,41,Basic,29,2024-06-20,,Active
42,42,Basic,29,2024-07-30,,Active
43,43,Basic,29,2024-12-15,,Active
44,44,Basic,29,2024-10-29,,Active
45,45,Basic,29,2024-11-06,2025-06-25,Cancelled
46,46,Basic,29,2024-03-02,,Active
47,47,Basic,29,2024-04-28,,Active
48,48,Pro,45,2024-10-27,,Active
49,49,Pro,45,2024-08-13,,Active
50,50,Basic,29,2024-06-18,,Active
51,51,Basic,29,2024-07-20,2025-04-06,Cancelled
52,52,Pro,45,2024-12-23,,Active
53,53,Basic,29,2024-09-27,,Active
54,54,Pro,45,2024-08-09,,Active
55,55,Pro,45,2024-05-05,2026-11-02,Cancelled
56,56,Enterprise,79,2024-03-06,,Active
57,57,Pro,45,2024-11-09,,Active
58,58,Basic,29,2024-06-25,,Active
59,59,Basic,29,2024-09-11,,Active
60,60,Basic,29,2024-07-20,,Active
61,61,Enterprise,79,2024-07-25,,Active
62,62,Basic,29,2024-12-14,2026-07-18,Cancelled
63,63,Pro,45,2024-07-07,,Active
64,64,Basic,29,2024-02-01,,Active
65,65,Enterprise,79,2024-06-29,,Active
66,66,Basic,29,2024-07-04,,Active
67,67,Enterprise,79,2024-11-06,2026-04-30,Cancelled
68,68,Enterprise,79,2024-09-16,2024-10-23,Cancelled
69,69,Basic,29,2024-01-11,,Active
70,70,Pro,45,2024-03-11,,Active
71,71,Basic,29,2024-04-07,,Active
72,72,Pro,45,2024-01-27,,Active
73,73,Basic,29,2024-04-02,,Active
74,74,Basic,29,2024-03-06,,Active
75,75,Basic,29,2024-12-26,,Active
76,76,Basic,29,2024-08-17,2025-01-07,Cancelled
77,77,Basic,29,2024-10-30,,Active
78,78,Basic,29,2024-11-15,2025-07-08,Cancelled
79,79,Basic,29,2024-10-11,,Active
80,80,Enterprise,79,2024-04-14,,Active
81,81,Pro,45,2024-08-25,,Active
82,82,Basic,29,2024-05-12,,Active
83,83,Basic,29,2024-10-06,,Active
84,84,Basic,29,2024-11-03,2025-09-07,Cancelled
85,85,Enterprise,79,2024-08-02,,Active
86,86,Pro,45,2024-04-07,2026-04-19,Cancelled
87,87,Enterprise,79,2024-10-08,,Active
88,88,Pro,45,2024-03-10,,Active
89,89,Pro,45,2024-02-19,,Active
90,90,Basic,29,2024-05-12,,Active
91,91,Pro,45,2024-07-09,2025-09-12,Cancelled
92,92,Basic,29,2024-04-06,,Active
93,93,Basic,29,2024-04-25,,Active
94,94,Pro,45,2024-08-30,,Active
95,95,Enterprise,79,2024-06-23,,Active
96,96,Basic,29,2024-03-31,,Active
97,97,Enterprise,79,2024-02-27,,Active
98,98,Basic,29,2024-12-23,,Active
99,99,Basic,29,2024-07-10,,Active
100,100,Basic,29,2024-09-18,,Active
101,101,Pro,45,2024-09-10,,Active
102,102,Pro,45,2024-07-01,,Active
103,103,Basic,29,2024-09-14,,Active
104,104,Enterprise,79,2024-02-15,,Active
105,105,Pro,45,2024-01-22,,Active
106,106,Basic,29,2024-08-01,,Active
107,107,Pro,45,2024-11-06,,Active
108,108,Basic,29,2024-02-15,,Active
109,109,Pro,45,2024-07-02,,Active
110,110,Basic,29,2024-05-11,,Active
111,111,Pro,45,2024-07-09,,Active
112,112,Pro,45,2024-12-28,,Active
113,113,Basic,29,2024-01-17,,Active
114,114,Pro,45,2024-02-29,2026-12-10,Cancelled
115,115,Pro,45,2024-12-19,,Active
116,116,Basic,29,2024-05-11,,Active
117,117,Basic,29,2024-08-31,,Active
118,118,Enterprise,79,2024-12-23,2026-10-28,Cancelled
119,119,Pro,45,2024-06-21,,Active
120,120,Basic,29,2024-06-16,2026-08-19,Cancelled
121,121,Basic,29,2024-08-28,,Active
122,122,Basic,29,2024-09-15,,Active
123,123,Basic,29,2024-04-26,2025-02-19,Cancelled
124,124,Basic,29,2024-04-02,,Active
125,125,Basic,29,2024-08-07,,Active
126,126,Pro,45,2024-08-23,,Active
127,127,Basic,29,2024-09-08,2024-12-05,Cancelled
128,128,Basic,29,2024-10-17,,Active
129,129,Enterprise,79,2024-12-20,,Active
130,130,Pro,45,2024-10-19,,Active
131,131,Basic,29,2024-05-22,,Active
132,132,Pro,45,2024-04-11,2026-11-17,Cancelled
133,133,Enterprise,79,2024-12-09,,Active
134,134,Basic,29,2024-04-27,2025-02-25,Cancelled
135,135,Basic,29,2024-04-01,,Active
136,136,Pro,45,2024-12-09,,Active
137,137,Basic,29,2024-09-25,,Active
138,138,Enterprise,79,2024-05-19,,Active
139,139,Pro,45,2024-09-05,,Active
140,140,Basic,29,2024-01-27,,Active
141,141,Basic,29,2024-01-02,2024-01-09,Cancelled
142,142,Pro,45,2024-01-06,,Active
143,143,Pro,45,2024-06-12,,Active
144,144,Basic,29,2024-03-27,,Active
145,145,Enterprise,79,2024-11-25,,Active
146,146,Pro,45,2024-08-24,,Active
147,147,Basic,29,2024-06-25,,Active
148,148,Basic,29,2024-10-06,,Active
149,149,Basic,29,2024-06-10,,Active
150,150,Basic,29,2024-02-05,,Active
151,151,Pro,45,2024-08-06,,Active
152,152,Pro,45,2024-04-21,2026-10-03,Cancelled
153,153,Enterprise,79,2024-05-15,,Active
154,154,Pro,45,2024-08-26,,Active
155,155,Basic,29,2024-05-16,2026-02-20,Cancelled
156,156,Basic,29,2024-01-12,,Active
157,157,Pro,45,2024-10-07,,Active
158,158,Basic,29,2024-09-18,,Active
159,159,Basic,29,2024-02-14,,Active
160,160,Pro,45,2024-03-26,,Active
161,161,Pro,45,2024-05-07,,Active
162,162,Basic,29,2024-08-04,,Active
163,163,Basic,29,2024-11-30,,Active
164,164,Pro,45,2024-05-06,,Active
165,165,Basic,29,2024-08-16,,Active
166,166,Pro,45,2024-09-02,2026-09-02,Cancelled
167,167,Pro,45,2024-02-26,,Active
168,168,Basic,29,2024-06-29,,Active
169,169,Basic,29,2024-01-27,,Active
170,170,Basic,29,2024-06-24,,Active
171,171,Pro,45,2024-08-13,,Active
172,172,Basic,29,2024-03-14,,Active
173,173,Basic,29,2024-10-04,,Active
174,174,Basic,29,2024-08-24,,Active
175,175,Basic,29,2024-01-21,,Active
176,176,Basic,29,2024-10-08,,Active
177,177,Pro,45,2024-12-22,,Active
178,178,Basic,29,2024-04-30,2024-09-05,Cancelled
179,179,Enterprise,79,2024-09-23,,Active
180,180,Enterprise,79,2024-05-12,,Active
181,181,Basic,29,2024-07-16,,Active
182,182,Basic,29,2024-02-20,,Active
183,183,Basic,29,2024-09-19,,Active
184,184,Pro,45,2024-11-10,,Active
185,185,Pro,45,2024-07-14,,Active
186,186,Basic,29,2024-12-05,,Active
187,187,Basic,29,2024-06-23,,Active
188,188,Pro,45,2024-06-10,2025-05-02,Cancelled
189,189,Pro,45,2024-11-21,,Active
190,190,Basic,29,2024-11-18,,Active
