ticket_id,user_id,ticket_date,category,priority,status,resolution_hours
1,1,2026-07-12,Account Management,Medium,Resolved,20
2,1,2025-06-14,Login Problems,Low,Resolved,27
3,2,2025-07-29,API Issues,Low,Resolved,43
4,2,2026-05-08,Account Management,Medium,Resolved,43
5,2,2026-05-03,API Issues,High,Resolved,25
6,3,2026-04-09,API Issues,Low,Resolved,7
7,3,2026-08-30,Account Management,Medium,Resolved,8
8,3,2026-07-28,Login Problems,High,Resolved,8
9,3,2026-08-03,Login Problems,Critical,Resolved,72
10,3,2025-11-03,Login Problems,High,Resolved,42
11,4,2026-07-23,Account Management,Medium,In Progress,69
12,4,2024-07-29,API Issues,Low,Resolved,46
13,4,2025-04-26,Account Management,Low,Resolved,56
14,5,2025-02-26,Feature Request,High,Resolved,72
15,5,2026-02-03,API Issues,Medium,In Progress,26
16,6,2024-08-10,API Issues,Low,Resolved,54
17,6,2026-01-02,Account Management,High,Resolved,17
18,6,2025-06-07,API Issues,Medium,Resolved,64
19,6,2025-06-09,Billing,Medium,Resolved,17
20,6,2026-04-19,Feature Request,Low,Resolved,11
21,7,2024-11-27,Dashboard Errors,Medium,Resolved,23
22,7,2026-02-09,API Issues,Low,Open,29
23,7,2025-04-27,Feature Request,High,Resolved,58
24,7,2026-02-06,Login Problems,Medium,Open,29
25,7,2025-11-30,API Issues,Low,Resolved,8
26,8,2026-01-11,Billing,High,Resolved,28
27,8,2024-10-21,Dashboard Errors,Low,Resolved,36
28,8,2024-07-04,Feature Request,Low,Resolved,14
29,8,2025-09-03,Feature Request,High,Resolved,36
30,11,2026-10-27,Feature Request,High,In Progress,20
31,11,2024-08-09,Dashboard Errors,Medium,Resolved,63
32,11,2026-07-25,API Issues,Medium,Resolved,7
33,12,2025-10-24,Login Problems,Low,Open,18
34,12,2025-05-18,Feature Request,High,Resolved,26
35,12,2026-10-23,API Issues,High,Resolved,35
36,12,2024-11-14,Billing,Medium,Resolved,4
37,13,2024-08-28,Feature Request,Low,Resolved,26
38,13,2024-10-07,Dashboard Errors,Low,Resolved,39
39,14,2025-07-16,Feature Request,High,Resolved,6
40,14,2026-02-14,API Issues,Low,Resolved,67
41,14,2026-03-04,Feature Request,Medium,Resolved,21
42,15,2026-08-10,Feature Request,Low,Resolved,42
43,16,2025-02-21,API Issues,Medium,Resolved,6
44,16,2025-08-04,Feature Request,High,Resolved,33
45,16,2026-12-25,API Issues,Low,Resolved,41
46,17,2025-12-11,Login Problems,Medium,In Progress,33
47,17,2024-08-23,API Issues,Low,Resolved,20
48,17,2024-10-29,API Issues,Medium,Open,1
49,17,2025-01-12,Feature Request,Medium,Resolved,17
50,17,2024-10-02,API Issues,Low,Resolved,12
51,18,2025-12-08,Login Problems,Low,Resolved,2
52,18,2026-03-28,Billing,Low,Resolved,16
53,21,2026-04-12,Login Problems,Medium,Open,71
54,21,2026-03-15,Dashboard Errors,High,Resolved,37
55,21,2024-09-28,API Issues,Medium,In Progress,5
56,21,2025-04-14,Dashboard Errors,Critical,Resolved,10
57,21,2024-05-16,Login Problems,Medium,Resolved,56
58,23,2024-10-02,Login Problems,High,Resolved,15
59,23,2025-10-15,Feature Request,Critical,Open,64
60,23,2025-09-03,Feature Request,Medium,Resolved,46
61,24,2026-10-29,Dashboard Errors,High,Resolved,38
62,24,2026-11-11,Login Problems,Low,Resolved,53
63,25,2024-06-27,Billing,High,Resolved,24
64,27,2026-08-05,Login Problems,High,Resolved,24
65,27,2026-11-19,Login Problems,Medium,Resolved,63
66,28,2026-01-01,Login Problems,Medium,Resolved,55
67,28,2024-11-13,Login Problems,Medium,Resolved,28
68,28,2026-03-13,Billing,High,Resolved,70
69,28,2025-12-01,Feature Request,Medium,In Progress,36
70,28,2025-02-19,Login Problems,Medium,Resolved,11
71,29,2025-07-09,Login Problems,High,Resolved,11
72,29,2024-11-27,Dashboard Errors,Low,Resolved,51
73,29,2024-05-09,API Issues,Low,In Progress,38
74,29,2025-04-05,Login Problems,High,Resolved,71
75,30,2026-11-16,Dashboard Errors,Low,Open,50
76,30,2026-11-13,Billing,High,Open,11
77,30,2026-05-31,Feature Request,Critical,Resolved,47
78,31,2024-03-21,Billing,Low,Resolved,3
79,31,2026-07-26,Dashboard Errors,Low,Open,65
80,31,2025-04-29,Feature Request,High,Resolved,6
81,31,2026-10-23,Login Problems,High,Resolved,10
82,31,2026-08-08,API Issues,Medium,Resolved,1
83,32,2026-04-12,Login Problems,Low,Resolved,11
84,33,2026-02-08,Billing,Medium,In Progress,45
85,33,2026-09-05,Billing,Medium,Resolved,27
86,33,2026-07-10,Dashboard Errors,Low,Resolved,6
87,35,2025-08-20,Dashboard Errors,Low,Resolved,4
88,35,2024-12-17,Login Problems,Low,Resolved,41
89,37,2025-01-04,Dashboard Errors,Low,Resolved,17
90,37,2026-02-19,Account Management,High,Resolved,50
91,37,2026-09-05,Feature Request,Low,Resolved,1
92,37,2026-01-12,Login Problems,Low,Resolved,70
93,37,2024-09-04,Login Problems,Low,Open,18
94,40,2026-06-09,Billing,Critical,Resolved,36
