transaction_id,user_id,subscription_id,transaction_date,amount,payment_status,payment_method
1,1,1,2024-10-01,29,Successful,Credit Card
2,1,1,2024-11-01,29,Successful,PayPal
3,1,1,2024-12-01,29,Successful,PayPal
4,1,1,2025-01-01,29,Successful,Debit Card
5,1,1,2025-02-01,29,Successful,PayPal
6,1,1,2025-03-01,29,Successful,Credit Card
7,1,1,2025-04-01,29,Successful,PayPal
8,1,1,2025-05-01,29,Successful,Debit Card
9,1,1,2025-06-01,29,Successful,Bank Transfer
10,1,1,2025-07-01,29,Successful,Credit Card
11,1,1,2025-08-01,29,Successful,PayPal
12,1,1,2025-09-01,29,Successful,Bank Transfer
13,1,1,2025-10-01,29,Successful,Bank Transfer
14,1,1,2025-11-01,29,Successful,PayPal
15,1,1,2025-12-01,29,Successful,Debit Card
16,1,1,2026-01-01,29,Successful,Credit Card
17,1,1,2026-02-01,29,Successful,Debit Card
18,1,1,2026-03-01,29,Successful,Credit Card
19,1,1,2026-04-01,29,Successful,Debit Card
20,1,1,2026-05-01,29,Successful,PayPal
21,1,1,2026-06-01,29,Successful,Debit Card
22,1,1,2026-07-01,29,Successful,PayPal
23,1,1,2026-08-01,29,Successful,PayPal
24,1,1,2026-09-01,29,Successful,Credit Card
25,1,1,2026-10-01,29,Successful,Credit Card
26,1,1,2026-11-01,29,Successful,PayPal
27,1,1,2026-12-01,29,Successful,Debit Card
28,2,2,2024-03-01,45,Successful,Bank Transfer
29,2,2,2024-04-01,45,Successful,Credit Card
30,2,2,2024-05-01,45,Successful,Credit Card
31,2,2,2024-06-01,45,Successful,Bank Transfer
32,2,2,2024-07-01,45,Successful,Bank Transfer
33,2,2,2024-08-01,45,Successful,Credit Card
34,2,2,2024-09-01,45,Successful,Credit Card
35,2,2,2024-10-01,45,Successful,Debit Card
36,2,2,2024-11-01,45,Successful,Debit Card
37,2,2,2024-12-01,45,Successful,Credit Card
38,2,2,2025-01-01,45,Failed,Debit Card
39,2,2,2025-02-01,45,Successful,PayPal
40,2,2,2025-03-01,45,Successful,Debit Card
41,2,2,2025-04-01,45,Successful,Credit Card
42,2,2,2025-05-01,45,Failed,PayPal
43,2,2,2025-06-01,45,Successful,Credit Card
44,2,2,2025-07-01,45,Successful,Debit Card
45,2,2,2025-08-01,45,Failed,Bank Transfer
46,2,2,2025-09-01,45,Successful,PayPal
47,2,2,2025-10-01,45,Successful,Bank Transfer
48,2,2,2025-11-01,45,Successful,Credit Card
49,2,2,2025-12-01,45,Successful,Credit Card
50,2,2,2026-01-01,45,Failed,PayPal
51,2,2,2026-02-01,45,Successful,Credit Card
52,2,2,2026-03-01,45,Successful,PayPal
53,2,2,2026-04-01,45,Successful,Credit Card
54,2,2,2026-05-01,45,Successful,PayPal
55,2,2,2026-06-01,45,Successful,Credit Card
56,2,2,2026-07-01,45,Successful,Credit Card
57,2,2,2026-08-01,45,Successful,Credit Card
58,2,2,2026-09-01,45,Successful,Debit Card
59,2,2,2026-10-01,45,Successful,Bank Transfer
60,2,2,2026-11-01,45,Successful,Credit Card
61,2,2,2026-12-01,45,Successful,Bank Transfer
62,3,3,2024-11-01,29,Successful,Bank Transfer
63,3,3,2024-12-01,29,Successful,Debit Card
64,3,3,2025-01-01,29,Successful,Bank Transfer
65,3,3,2025-02-01,29,Successful,Credit Card
66,3,3,2025-03-01,29,Successful,Debit Card
67,3,3,2025-04-01,29,Successful,PayPal
68,3,3,2025-05-01,29,Successful,Bank Transfer
69,3,3,2025-06-01,29,Successful,Bank Transfer
70,3,3,2025-07-01,29,Successful,Debit Card
71,3,3,2025-08-01,29,Successful,Bank Transfer
72,3,3,2025-09-01,29,Successful,Credit Card
73,3,3,2025-10-01,29,Successful,Credit Card
74,3,3,2025-11-01,29,Successful,Credit Card
75,3,3,2025-12-01,29,Successful,PayPal
76,3,3,2026-01-01,29,Failed,Debit Card
77,3,3,2026-02-01,29,Successful,PayPal
78,3,3,2026-03-01,29,Successful,PayPal
79,3,3,2026-04-01,29,Successful,Credit Card
80,3,3,2026-05-01,29,Successful,Debit Card
81,3,3,2026-06-01,29,Successful,Credit Card
82,3,3,2026-07-01,29,Successful,Bank Transfer
83,3,3,2026-08-01,29,Successful,PayPal
84,3,3,2026-09-01,29,Successful,Bank Transfer
85,3,3,2026-10-01,29,Successful,Debit Card
86,3,3,2026-11-01,29,Successful,PayPal
87,3,3,2026-12-01,29,Successful,Debit Card
88,4,4,2024-07-01,29,Successful,Credit Card
89,4,4,2024-08-01,29,Successful,Bank Transfer
90,4,4,2024-09-01,29,Successful,PayPal
91,4,4,2024-10-01,29,Successful,Bank Transfer
92,4,4,2024-11-01,29,Successful,Credit Card
93,4,4,2024-12-01,29,Successful,PayPal
94,4,4,2025-01-01,29,Successful,Debit Card
95,4,4,2025-02-01,29,Successful,PayPal
96,4,4,2025-03-01,29,Successful,PayPal
97,4,4,2025-04-01,29,Successful,Credit Card
98,4,4,2025-05-01,29,Successful,Credit Card
99,4,4,2025-06-01,29,Successful,Debit Card
100,4,4,2025-07-01,29,Successful,PayPal
101,4,4,2025-08-01,29,Successful,Bank Transfer
102,4,4,2025-09-01,29,Successful,Bank Transfer
103,4,4,2025-10-01,29,Successful,Credit Card
104,4,4,2025-11-01,29,Successful,Bank Transfer
105,4,4,2025-12-01,29,Successful,Debit Card
106,4,4,2026-01-01,29,Successful,PayPal
107,4,4,2026-02-01,29,Successful,Debit Card
108,4,4,2026-03-01,29,Successful,Credit Card
109,4,4,2026-04-01,29,Successful,Credit Card
110,4,4,2026-05-01,29,Successful,Bank Transfer
111,4,4,2026-06-01,29,Successful,Debit Card
112,4,4,2026-07-01,29,Successful,Debit Card
113,4,4,2026-08-01,29,Successful,Debit Card
114,4,4,2026-09-01,29,Successful,Debit Card
115,4,4,2026-10-01,29,Successful,Debit Card
116,4,4,2026-11-01,29,Successful,Debit Card
117,4,4,2026-12-01,29,Successful,Credit Card
118,5,5,2024-12-01,29,Successful,Bank Transfer
119,5,5,2025-01-01,29,Successful,PayPal
120,5,5,2025-02-01,29,Successful,Bank Transfer
121,5,5,2025-03-01,29,Successful,Debit Card
122,5,5,2025-04-01,29,Successful,Credit Card
123,5,5,2025-05-01,29,Failed,Bank Transfer
124,5,5,2025-06-01,29,Successful,Bank Transfer
125,5,5,2025-07-01,29,Successful,Debit Card
126,5,5,2025-08-01,29,Successful,PayPal
127,5,5,2025-09-01,29,Successful,PayPal
128,5,5,2025-10-01,29,Successful,Bank Transfer
129,5,5,2025-11-01,29,Successful,Bank Transfer
130,5,5,2025-12-01,29,Successful,PayPal
131,5,5,2026-01-01,29,Successful,Debit Card
132,5,5,2026-02-01,29,Successful,Bank Transfer
133,5,5,2026-03-01,29,Successful,Bank Transfer
134,5,5,2026-04-01,29,Successful,Credit Card
135,5,5,2026-05-01,29,Successful,Credit Card
136,5,5,2026-06-01,29,Successful,PayPal
137,5,5,2026-07-01,29,Successful,Credit Card
138,5,5,2026-08-01,29,Successful,Debit Card
139,5,5,2026-09-01,29,Successful,PayPal
140,5,5,2026-10-01,29,Successful,Credit Card
141,5,5,2026-11-01,29,Successful,PayPal
142,5,5,2026-12-01,29,Successful,Credit Card
143,6,6,2024-09-01,29,Successful,Bank Transfer
144,6,6,2024-10-01,29,Successful,Credit Card
145,6,6,2024-11-01,29,Successful,Bank Transfer
146,6,6,2024-12-01,29,Successful,Debit Card
147,6,6,2025-01-01,29,Successful,Credit Card
148,6,6,2025-02-01,29,Successful,Debit Card
149,6,6,2025-03-01,29,Successful,Bank Transfer
150,6,6,2025-04-01,29,Successful,PayPal
151,6,6,2025-05-01,29,Successful,Debit Card
152,6,6,2025-06-01,29,Successful,Credit Card
153,6,6,2025-07-01,29,Successful,Bank Transfer
154,6,6,2025-08-01,29,Successful,PayPal
155,6,6,2025-09-01,29,Successful,PayPal
